item_link,item_name,item_category
Nicotine Salt ICED STRAWBERRY MANGO 30ML,https://vapology.com.ng/product/nicotine-salt-iced-strawberry-mango-30ml/,"Salt Nicotine 30/35/50mg, Vape Liquid"
Nicotine Salt ICED MINT 30ML/35MG,https://vapology.com.ng/product/nicotine-salt-iced-mint-30ml-35mg/,"Salt Nicotine 30/35/50mg, Vape Liquid"
"Smoant Levin PK Kit, 1000mah.",https://vapology.com.ng/product/smoant-levin-pk-kit-1000mah/,"Electronic Cigarettes, Vape Kits"
Smoant Knight Q Pod Kit,https://vapology.com.ng/product/smoant-knight-q-pod-kit/,"Electronic Cigarettes, Vape Kits"
Smoant Charon T50 Kit 1500mah,https://vapology.com.ng/product/smoant-charon-t50-kit-1500mah/,"Electronic Cigarettes, Vape Kits"
NICOTINE SALT MINT GUM 35MG/30ML,https://vapology.com.ng/product/nicotine-salt-mint-gum-35mg-30ml/,"Salt Nicotine 30/35/50mg, Vape Liquid"
NICOTINE SALT YOGURT ICE 30ML/35MG,https://vapology.com.ng/product/nicotine-salt-yogurt-ice-30ml-35mg/,"Salt Nicotine 30/35/50mg, Vape Liquid"
NICOTINE SALT PINK LEMONADE 35MG/30ML,https://vapology.com.ng/product/nicotine-salt-pink-lemonade-35mg-30ml/,"Salt Nicotine 30/35/50mg, Vape Liquid"
NICOTINE SALT SWEET PINEAPPLE 30ML/35MG,https://vapology.com.ng/product/nicotine-salt-sweet-pineapple-30ml-35mg/,"Salt Nicotine 30/35/50mg, Vape Liquid"
NICOTINE SALT ICE MANGO 30ML/35MG,https://vapology.com.ng/product/nicotine-salt-ice-mango-30ml-35mg/,"Salt Nicotine 30/35/50mg, Vape Liquid"
Yogurt Ice Cream 60ml,https://vapology.com.ng/product/yogurt-ice-cream-60ml/,Vape Liquid
Passion Fruit Disposable 5000Puffs- Yuoto Thanos,https://vapology.com.ng/product/passion-fruit-disposable-5000puffs-yuoto-thanos/,"Disposables, Electronic Cigarettes"
Strawberry watermelon Ice Disposable Rechargeable Vape 5000Puffs (Yuoto Thanos),https://vapology.com.ng/product/strawberry-watermelon-ice-disposable-rechargeable-vape-5000puffs-yuoto-thanos/,"Disposables, Electronic Cigarettes"
